,id,name,host_id,host_since,street,neighbourhood,city,state,zipcode,country,latitude,longitude,property_type,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,host_listings,reviews_per_month,price_group
2,145320,In the middle of it all - with a view!,703851,2011-06-15,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,118 53,Sweden,5.931.364,1.805.256,Apartment,1.0,1285.0,2,0,72,97.0,1,2,High Price
4,155685,Hornstull with water view!,748592,2011-06-27,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11739,Sweden,5.931.535,1.803.277,Apartment,2.0,3247.0,4,0,22,94.0,1,0,High Price
6,170651,Petit Charm Rooftop next to heaven,814021,2011-07-13,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11737,Sweden,5.931.568,1.803.138,Apartment,1.0,745.0,3,197,32,93.0,1,0,Middle Price
7,206221,Doubleroom at Soedermalm &trendySofo,1022374,2011-08-26,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11639,Sweden,5.931.226,1.807.942,Bed and breakfast,1.0,667.0,3,332,78,98.0,1,0,Middle Price
9,220851,One room in appartement,412283,2011-02-27,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11341,Sweden,5.933.376,1.803.816,Apartment,1.0,598.0,3,336,45,93.0,1,0,Middle Price
12,259722,Near shopping-IT Business(Bunk bed),1261494,2011-10-07,"Stockholm, Stockholm County, Sweden",Rinkeby-Kista,Stockholm,Stockholm County,16474,Sweden,5.941.003,179.366,Apartment,1.0,226.0,21,307,23,92.0,1,0,Low Price
13,273906,Penthouse in central Stockholm,1432722,2011-11-22,"Stockholm, Stockholm County, Sweden",Skarpnaeck,Stockholm,Stockholm County,12068,Sweden,5.930.414,181.068,Apartment,3.0,1962.0,6,242,8,100.0,1,0,High Price
14,274876,Designer apartment innercity Sthlm,1437153,2011-11-23,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11628,Sweden,5.931.849,1.809.536,Apartment,3.0,3188.0,3,343,109,99.0,1,1,High Price
15,278311,Entire apt (some weeks this summer),1452838,2011-11-29,"Farsta, Stockholms laen, Sweden",Farsta,Farsta,Stockholms laen,12331,Sweden,5.924.534,1.808.729,Apartment,1.0,412.0,1,359,51,92.0,1,0,Low Price
16,283446,Comfort Stay @ Kista - Super Value!,1476562,2011-12-06,"Stockholm, Stockholm County, Sweden",Rinkeby-Kista,Stockholm,Stockholm County,16472,Sweden,5.941.533,1.791.465,Apartment,1.0,294.0,2,0,104,97.0,1,1,Low Price
18,301680,one cosy double room for rent,1554143,2012-01-01,"Laangbro, Stockholm County, Sweden",Aelvsjoe,Laangbro,Stockholm County,12533,Sweden,5.927.778,1.799.226,Bed and breakfast,1.0,745.0,1,361,34,92.0,2,0,Middle Price
19,302496,"Spacious, bright, unique apartment",1557657,2012-01-02,"Norrmalm, Stockholm County, Sweden",Norrmalm,Norrmalm,Stockholm County,11351,Sweden,5.934.518,1.806.044,Apartment,3.0,2796.0,5,250,62,99.0,1,0,High Price
20,313195,"Design, style & vintage by Odenplan",956221,2011-08-11,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11347,Sweden,5.934.763,1.805.015,Apartment,1.0,912.0,3,18,45,96.0,1,0,Middle Price
21,313763,Excellent location in the city center,1533849,2011-12-25,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,113 28,Sweden,5.934.398,1.804.959,Loft,1.0,745.0,2,14,48,98.0,1,0,Middle Price
22,338470,Apartment in the heart of Stockholm,1719449,2012-02-08,"Oestermalm, Stockholm County, Sweden",Oestermalm,Oestermalm,Stockholm County,11460,Sweden,5.933.742,1.808.873,Apartment,1.0,1246.0,3,151,21,98.0,1,0,High Price
23,343925,Modern central 1 bedroom flat,1744774,2012-02-13,"Kungsholmen, Stockholm County, Sweden",Kungsholmen,Kungsholmen,Stockholm County,11247,Sweden,593.366,1.802.942,Apartment,1.0,755.0,2,0,34,93.0,1,0,Middle Price
24,357012,Gorgeous sunny apt with sea views,1214515,2011-09-27,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11731,Sweden,5.931.973,1.803.999,Apartment,2.0,1697.0,3,60,19,100.0,1,0,High Price
26,370744,charming spot at famous Soedermalm,1355847,2011-10-31,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,118 64,Sweden,5.931.409,1.805.785,Apartment,2.0,2001.0,2,0,11,96.0,2,0,High Price
30,444252,Studio Apartment,2206725,2012-04-23,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11357,Sweden,5.934.152,1.806.156,Apartment,1.0,716.0,6,160,2,100.0,2,0,Middle Price
32,451155,Spacious house in Stockholm,2240860,2012-04-28,"Stockholm, Stockholm County, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholm County,12243,Sweden,5.928.021,1.805.355,House,4.0,1501.0,3,238,23,95.0,1,0,High Price
33,472015,Lovely big apt in SOFO  balcony,1578681,2012-01-07,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11621,Sweden,5.931.331,1.807.414,Apartment,3.0,2060.0,5,220,6,93.0,1,0,High Price
34,475409,CHARMING 1 Bed Room in City Center (share),2356697,2012-05-12,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11633,Sweden,593.144,1.808.311,Apartment,1.0,490.0,3,151,44,91.0,1,0,Low Price
45,533880,Nice room Erik Dahlbergsgatan,2624450,2012-06-13,"Stockholm, Stockholm County, Sweden",Oestermalm,Stockholm,Stockholm County,11530,Sweden,5.934.384,1.808.977,Bed and breakfast,1.0,520.0,10,0,106,96.0,1,1,Middle Price
46,536283,Studio apartment right in the city,2624970,2012-06-13,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11625,Sweden,5.931.211,1.807.801,Condominium,1.0,1363.0,3,327,94,96.0,1,1,High Price
